experiment_name,variant_id,duration,country,device,users,cr,customers
PBX-shop-PDP-editor-beta-feb19,0,21,All,All,4192,0.45,1887
PBX-shop-PDP-editor-beta-feb19,1,21,All,All,597,0.44,260
PBX-shop-RP-priceSortDropdown-feb19,0,22,All,All,293301,0.2,58748
PBX-shop-RP-priceSortDropdown-feb19,1,22,All,All,293956,0.2,58850
PBX-shop-RP-product-card-jan19,0,24,All,All,26665,0.14,3640
PBX-shop-RP-product-card-jan19,1,24,All,All,27005,0.14,3805
PBX-shop-RP-product-card-jan19,2,24,All,All,10417,0.12,1291
PBX-shop-all-search-feb19,0,26,All,All,359840,0.17,61353
PBX-shop-all-search-feb19,1,26,All,All,359458,0.17,60892
PBX-shop-studio-collageCanvas-sep18,0,76,All,All,68056,0.4,27073
PBX-shop-studio-collageCanvas-sep18,1,76,All,All,67358,0.42,28196
PBX-shop-studio-collagePoster-sep18,0,76,All,All,21264,0.46,9875
PBX-shop-studio-collagePoster-sep18,1,76,All,All,21550,0.48,10236
PBX-shop-studio-magicBook-sep18,0,35,All,All,36086,0.33,11941
PBX-shop-studio-magicBook-sep18,1,35,All,All,36087,0.34,12399
PBX-shop-studio-simpleCanvas-sep18,0,42,All,All,37546,0.3,11376
PBX-shop-studio-simpleCanvas-sep18,1,42,All,All,37706,0.32,12092